id,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
60,False,mp-27839,K2TiCl6,Cubic,Fm-3m,225,9,0.0,-2.1796788586481477,True,235.94932487031517,2.384241116834958,2.0826000000000002,False,False,NM,0.0,,,,,,,0.477,,,,,,12.728901240012554,9.523399653345889,
61,False,mp-22232,TlInSe2,Tetragonal,I4/mcm,140,8,0.0,-0.6729150770312486,True,231.1600042795146,6.854806571114,0.7351000000000001,True,False,NM,0.0,,,,,,,0.724,,,,,,71.2519360634616,62.26481540679492,
62,False,mp-19178,CoAgO2,Hexagonal,P6_3/mmc,194,8,0.0,-1.0034648404166662,True,87.12125219781167,7.578299942146375,1.3319999999999999,False,False,NM,0.0,,,,,,,,,,,,,15.808172749738425,5.1740366030717615,
63,False,mp-2490,GaP,Cubic,F-43m,216,2,0.0,-0.5089161339880963,True,40.5058667192971,4.128066394428307,1.6038999999999999,False,False,NM,0.0,,,,,,,0.413,,,,,0.20018333333333302,12.826324879999992,2.266342740000003,
64,False,mp-690785,Na2H6Pt,Cubic,Fm-3m,225,9,0.0,-0.4371965336111114,True,95.61022224008332,4.291777136152494,3.6156,False,False,NM,0.0,,,,,,,0.003,,,,,,7.505325590000002,4.271561670000001,
65,False,mp-27831,Rb2ZrCl6,Cubic,Fm-3m,225,9,0.0,-2.3564902483333316,True,266.30422884710833,2.9610975765089154,3.5620000000000003,False,False,NM,0.0,,,,,,,0.009,,,,,,10.258460063318731,7.453198896652065,
66,False,mp-4495,KLiTe,Tetragonal,P4/nmm,129,6,0.0,-1.2092002040833336,True,180.18507341646608,3.2004298211832687,2.4134,True,False,NM,0.0,,,,,,,0.272,,,,,,8.858928223333331,4.36419797,
67,False,mp-23025,LaClO,Tetragonal,P4/nmm,129,6,0.0,-3.500921294166666,True,117.2875893291415,5.390112996230304,4.0688,True,False,NM,0.0,,,,,,,,,,,,,18.314599943333334,14.028884503333336,
68,False,mp-24066,SrHClO,Hexagonal,P6_3mc,186,8,0.0,-2.4574616921874997,True,152.70962180477073,3.0464207072686733,4.9798,False,False,NM,0.0,,,,,,,0.05,,,,,0.5343598947338847,7.082350483349171,4.349390140015839,
69,False,mp-2605,CaO,Cubic,Fm-3m,225,2,0.0,-3.2301091375000013,True,27.771067003632275,3.3530837486789946,3.6301000000000005,False,False,NM,0.0,,,,,,,0.001,,,,,,16.47135604666664,12.687349153333313,
